id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,retain,verb,giữ lại; duy trì,/rɪˈteɪn/,"Tiếp tục giữ một người, vật hoặc thông tin thay vì mất hoặc loại bỏ nó.",The company offers bonuses to retain experienced employees.,Công ty đưa ra tiền thưởng để giữ chân nhân viên giàu kinh nghiệm.,,,medium,B2,700,common,keep; preserve; maintain,release; lose,retention; retentive; retailer*,retain employees; retain customers; retain information,,retain + noun,"Không nhầm retain với maintain; retain nhấn mạnh việc giữ lại, maintain nhấn mạnh duy trì trạng thái.",Rất thường gặp trong HR và Customer Service.,Jobs / Recruitment,retain = keep,association,retain customers = giữ chân khách hàng,TRUE,3,,
,retained earnings,noun phrase,lợi nhuận giữ lại,/rɪˌteɪnd ˈɜːrnɪŋz/,Phần lợi nhuận được giữ lại trong doanh nghiệp thay vì phân phối cho cổ đông.,The company used retained earnings to finance expansion.,Công ty sử dụng lợi nhuận giữ lại để tài trợ mở rộng.,,,hard,C1,950,extremely common,"accumulated earnings, retained profit",distributed earnings,"retain, retention, earnings","retained earnings balance, accumulated retained earnings",retain for,retain earnings for future investment,Retained earnings không phải tiền mặt.,Đây là một mục trong equity; tiền có thể đã được dùng cho tài sản.,Accounting / Corporate Finance,retain earnings,association,profit → keep → reinvest,TRUE,5,,
,retention,noun,sự duy trì; giữ chân khách hàng/nhân viên,/rɪˈtenʃən/,"Việc giữ khách hàng, nhân viên hoặc nguồn lực tiếp tục gắn bó với tổ chức.",Customer retention is a major goal of the loyalty program.,Giữ chân khách hàng là một mục tiêu quan trọng của chương trình khách hàng thân thiết.,,,medium,B2,700,common,"preservation, customer loyalty","turnover, loss","retain, retention","customer retention, employee retention, retention rate",retain,retention of + noun,"Không nhầm retention với recruitment; retention là giữ người hiện có, recruitment là tuyển người mới.","Trong Business/Marketing, thường gặp nhất là customer retention.",Marketing,retain = giữ lại → retention = sự giữ lại,word_family,retain → retention,TRUE,3,,
,retention bonus,noun phrase,tiền thưởng giữ chân nhân viên,/rɪˈtenʃən ˈboʊnəs/,Khoản thưởng nhằm khuyến khích nhân viên tiếp tục làm việc cho công ty.,The company offered her a retention bonus to stay for another year.,Công ty đề nghị cô ấy khoản thưởng giữ chân để tiếp tục làm việc thêm một năm.,,,hard,C1,800,uncommon,stay bonus,,"retain, retention, bonus","retention bonus, retention bonus payment",,offer/pay a retention bonus,,"Khác với performance bonus, mục tiêu chính là giữ nhân viên.",Jobs / Recruitment,retention = giữ lại,association,Retention bonus = thưởng để giữ người,FALSE,5,,
,retention incentive,noun phrase,khoản khuyến khích giữ chân nhân viên,/rɪˈtenʃən ɪnˈsentɪv/,Phần thưởng hoặc lợi ích nhằm khuyến khích nhân viên tiếp tục làm việc.,The company offered a retention incentive to key employees.,Công ty đưa ra khoản khuyến khích giữ chân cho các nhân viên chủ chốt.,,,medium,B2,750,common,retention bonus,resignation incentive,"retain, retention, incentive","employee retention incentive, retention incentive plan",retain,incentive for + retention,"Không nhầm với recruitment incentive, dành cho việc thu hút người mới.",Có thể là bonus hoặc benefit.,HR / Finance,retention = giữ lại,contrast,retention incentive = tiền để giữ người,TRUE,4,,
,retention interview,noun,phỏng vấn giữ chân nhân viên,/rɪˈtenʃən ˈɪntərvjuː/,Cuộc trao đổi với nhân viên hiện tại nhằm tìm hiểu lý do họ tiếp tục làm việc.,Managers conduct retention interviews with key employees.,Quản lý thực hiện các cuộc phỏng vấn giữ chân với nhân viên chủ chốt.,,,medium,B2,750,uncommon,stay interview,exit interview,"retain, retention, interview","retention interview, conduct a retention interview",,interview with + employee,Không nhầm với exit interview; retention interview diễn ra khi nhân viên vẫn đang làm việc.,Gần nghĩa với stay interview.,Jobs / Recruitment,retention = giữ lại,contrast,retention interview = hỏi để giữ nhân viên,TRUE,4,,
,retention metrics,noun phrase,các chỉ số giữ chân nhân viên,/rɪˈtenʃən ˈmetrɪks/,Các chỉ số dùng để đo khả năng giữ nhân viên của tổ chức.,HR tracks retention metrics to identify workforce trends.,HR theo dõi các chỉ số giữ chân nhân viên để xác định xu hướng nhân sự.,,,medium,B2,750,common,retention indicators,turnover metrics,"retain, retention, metric","employee retention metrics, retention rate",retain,metric for + retention,Không nhầm retention metrics với turnover metrics; hai nhóm đo các khía cạnh khác nhau của biến động nhân sự.,Thường gồm retention rate và tenure.,HR / Business,retention = giữ lại,contrast,retention = giữ; turnover = rời,TRUE,4,,
,retention objective,noun phrase,mục tiêu giữ chân khách hàng,/rɪˈtenʃən əbˈdʒektɪv/,Mục tiêu nhằm duy trì khách hàng và giảm tỷ lệ rời bỏ.,The company set a retention objective for the next quarter.,Công ty đặt mục tiêu giữ chân khách hàng cho quý tới.,,,hard,C1,800,uncommon,retention goal,,"retain, retention, objective","retention objective, customer retention",,objective of + noun,Không nhầm retention với acquisition.,Thuật ngữ marketing chuyên môn.,Marketing,retain = giữ khách,contrast,"retention keeps, acquisition gains",FALSE,4,,
,retention program,noun,chương trình giữ chân nhân viên,/rɪˈtenʃən ˈprəʊɡræm/,Chương trình nhằm giảm tỷ lệ nhân viên rời khỏi tổ chức.,The company launched a retention program for experienced employees.,Công ty triển khai chương trình giữ chân nhân viên giàu kinh nghiệm.,,,medium,B2,700,common,employee retention program,attrition program,"retain, retention","employee retention program, retention strategy",retain,program for + retention,Không nhầm retention với recruitment; retention là giữ người đã làm việc.,"Thường gồm career development, rewards và benefits.",Jobs / Recruitment,retain = giữ lại,association,retention program = chương trình giữ chân,TRUE,4,,
,retention rate,noun,tỷ lệ giữ chân,/rɪˈtenʃən reɪt/,Tỷ lệ nhân viên hoặc khách hàng tiếp tục ở lại với tổ chức trong một khoảng thời gian.,The company's employee retention rate has improved significantly.,Tỷ lệ giữ chân nhân viên của công ty đã cải thiện đáng kể.,,,medium,B2,750,common,"retention percentage, employee retention rate",turnover rate,"retain, retention","employee retention rate, high retention rate",retain,retention rate of + employees,"Không nhầm retention rate với turnover rate; retention đo người ở lại, turnover đo người rời đi.","Trong HR, thường hiểu là employee retention rate.",Jobs / Recruitment,retain = giữ lại,contrast,retention = giữ người ở lại,TRUE,4,,
,retention risk,noun,rủi ro mất nhân viên,/rɪˈtenʃən rɪsk/,Khả năng một nhân viên có nguy cơ rời khỏi tổ chức.,HR identified several employees as having a high retention risk.,HR xác định một số nhân viên có nguy cơ rời công ty cao.,,,medium,B2,750,common,"attrition risk, turnover risk",retention opportunity,"retain, retention, risk","retention risk, high retention risk",,risk of + employee turnover,Không nhầm retention risk với workforce risk; retention risk tập trung vào khả năng nhân viên rời đi.,Thường dùng trong talent management.,Jobs / Recruitment,retention = giữ; risk = nguy cơ,contrast,retention risk = nguy cơ mất người,TRUE,4,,
,retention stage,noun phrase,giai đoạn duy trì khách hàng,/rɪˈtenʃən steɪdʒ/,Giai đoạn tập trung giữ khách hàng hiện tại và khuyến khích họ tiếp tục sử dụng dịch vụ.,The company introduced a loyalty program during the retention stage.,Công ty triển khai chương trình khách hàng trung thành trong giai đoạn duy trì khách hàng.,,,hard,C1,800,uncommon,customer retention stage,,"retain, retention","retention stage, customer retention",,focus on + noun,Không nhầm retention với acquisition; retention là giữ khách hàng hiện tại.,Thuật ngữ marketing chuyên môn.,Marketing,retain = giữ lại,contrast,retention keeps existing customers,FALSE,4,,
,retention strategy,noun,chiến lược giữ chân nhân viên,/rɪˈtenʃən ˈstrætədʒi/,Kế hoạch nhằm giữ nhân viên giỏi ở lại tổ chức.,The company introduced a retention strategy to reduce employee turnover.,Công ty đưa ra chiến lược giữ chân để giảm tỷ lệ nhân viên nghỉ việc.,,,medium,B2,750,common,employee retention strategy,turnover strategy,"retain, retention, strategic, strategy","employee retention strategy, retention plan",,strategy to retain + employees,Không nhầm retention với recruitment; retention là giữ người đã có.,Cụm quan trọng trong HR.,Jobs / Recruitment,retain = keep,contrast,Retention = keep good employees.,TRUE,3,,
,retire,verb,nghỉ hưu; rút khỏi,/rɪˈtaɪər/,"Ngừng làm việc chính thức, thường do đạt độ tuổi nghỉ hưu.",The manager plans to retire at the end of the year.,Quản lý dự định nghỉ hưu vào cuối năm.,,,easy,B1,500,extremely common,"leave employment, withdraw","work, continue","retirement, retired, retiree","retire from work, retire at age, retirement benefits",retire from,retire from + job/position,"Không nhầm retire với resign; retire thường do tuổi/nguyện vọng kết thúc sự nghiệp, resign là tự nguyện thôi việc.",Retirement benefits là cụm thường gặp trong Jobs.,Jobs / Recruitment; Finance,retire = stop working permanently,contrast,retire = nghỉ hưu,TRUE,2,,
,retirement,noun,sự nghỉ hưu,/rɪˈtaɪərmənt/,"Việc ngừng làm việc chính thức, thường sau khi đạt một độ tuổi nhất định.",The company offers retirement benefits to its employees.,Công ty cung cấp phúc lợi hưu trí cho nhân viên.,,,medium,B1,600,extremely common,pensioning; withdrawal from work,employment,retire; retired; retiree,retirement benefits; retirement plan; retirement age; early retirement,,retirement from + job; retirement at + age,"Không nhầm retirement với resignation; retirement thường là nghỉ việc sau thời gian làm việc, resignation là tự xin thôi việc.",Thường gặp trong HR và Benefits.,Jobs / Recruitment,retire → retirement = sự nghỉ hưu,word_family,retirement plan = kế hoạch hưu trí,TRUE,3,,
,retirement account,noun,tài khoản hưu trí,/rɪˈtaɪərmənt əˌkaʊnt/,Tài khoản dùng để tích lũy hoặc đầu tư tiền cho thời kỳ nghỉ hưu.,Employees can contribute part of their salary to a retirement account.,Nhân viên có thể đóng một phần tiền lương vào tài khoản hưu trí.,,,medium,C1,800,common,pension account,,"retire, retirement",retirement account; retirement savings; contribute to an account,,contribute to + retirement account,Không đồng nhất retirement account với pension trong mọi hệ thống.,Loại tài khoản cụ thể phụ thuộc vào quốc gia và hệ thống hưu trí.,Finance,retirement = nghỉ hưu,association,retirement account = tài khoản dành cho lúc nghỉ hưu,TRUE,4,,
,retirement age,noun phrase,tuổi nghỉ hưu,/rɪˈtaɪərmənt eɪdʒ/,Độ tuổi quy định hoặc thông thường để nghỉ hưu.,The company provides information about the retirement age.,Công ty cung cấp thông tin về tuổi nghỉ hưu.,,,easy,B1,500,common,pension age,working age,"retire, retirement","statutory retirement age, normal retirement age",retire from,age for + retirement,"Không nhầm retirement age với retirement date; một cái là độ tuổi, một cái là ngày.",Có thể khác nhau theo quốc gia và chính sách.,HR / Jobs,retire = stop working,association,retirement age = tuổi dừng làm việc,TRUE,3,,
,retirement benefit,noun,phúc lợi hưu trí,/rɪˈtaɪərmənt ˈbenɪfɪt/,Khoản phúc lợi hoặc quyền lợi nhận được khi nghỉ hưu.,The company offers excellent retirement benefits.,Công ty cung cấp các phúc lợi hưu trí rất tốt.,,,medium,B2,700,common,"pension benefit, retirement allowance",,"retire, retired, retirement, benefit","retirement benefits, employee retirement benefits",,qualify for/be eligible for benefits,Benefits thường dùng số nhiều khi nói về toàn bộ phúc lợi.,Thường gặp trong thông tin tuyển dụng và chính sách nhân viên.,Jobs / Recruitment,retirement = nghỉ hưu; benefit = phúc lợi,word_family,retirement benefit = quyền lợi khi nghỉ hưu,TRUE,3,,
,retirement benefits,noun,phúc lợi hưu trí,/rɪˈtaɪərmənt ˈbenɪfɪts/,Các khoản phúc lợi dành cho nhân viên khi nghỉ hưu.,The company offers retirement benefits to long-term employees.,Công ty cung cấp phúc lợi hưu trí cho nhân viên làm việc lâu năm.,,,medium,B2,750,common,pension benefits,,"retire, retirement","retirement benefits, retirement plan",,benefits for retirees,Không nhầm benefits với salary; benefits là phúc lợi ngoài lương cơ bản.,Rất thường gặp trong thông tin tuyển dụng và HR.,Jobs / Recruitment,retirement = retire + ment,word_family,Retirement benefits = benefits after work.,TRUE,3,,
,retirement fund,noun phrase,quỹ hưu trí,/rɪˈtaɪərmənt fʌnd/,Quỹ tiền dành để hỗ trợ tài chính sau khi nghỉ hưu.,Employees contribute part of their salaries to a retirement fund.,Nhân viên đóng góp một phần tiền lương vào quỹ hưu trí.,,,medium,B2,700,common,pension fund,,"retire, retirement","retirement fund contribution, retirement fund plan",,contribute to + retirement fund,"Không nhầm fund với pension payment; fund là quỹ, payment là khoản chi trả.",Thường gặp trong phúc lợi nhân viên.,Jobs / Recruitment,retirement fund = tiền dành cho lúc nghỉ hưu,association,retirement fund = quỹ hưu trí,TRUE,3,,
,retirement income,noun phrase,thu nhập hưu trí,/rɪˈtaɪərmənt ˈɪnkʌm/,Thu nhập nhận được sau khi nghỉ hưu.,Careful planning can help ensure sufficient retirement income.,Lập kế hoạch cẩn thận có thể giúp đảm bảo đủ thu nhập hưu trí.,,,medium,B2,750,common,pension income,,"retire, retirement, income","retirement income plan, retirement income source",,receive/plan for + retirement income,"Không nhầm retirement income với retirement savings; income là dòng tiền nhận được, savings là tiền tiết kiệm.",Dùng trong tài chính cá nhân.,Finance,retirement + income,distinction,retirement income = tiền nhận sau khi nghỉ hưu,TRUE,4,,
,retirement plan,noun phrase,kế hoạch hưu trí,/rɪˈtaɪəmənt plæn/,Chương trình giúp người lao động chuẩn bị tài chính cho thời kỳ nghỉ hưu.,The company offers a retirement plan to full-time employees.,Công ty cung cấp kế hoạch hưu trí cho nhân viên toàn thời gian.,,,medium,B1,600,extremely common,"pension plan, retirement program",,"retire, retirement","retirement plan, company retirement plan",retire from,plan for + retirement,"Không nhầm retirement plan với health insurance; một bên dành cho hưu trí, một bên liên quan chăm sóc sức khỏe.",Tên và cơ chế chương trình thay đổi theo quốc gia.,Finance / Jobs,retire = nghỉ hưu,association,Retirement plan = kế hoạch tài chính khi nghỉ hưu.,TRUE,3,,
,retirement planning,noun,lập kế hoạch nghỉ hưu,/rɪˈtaɪərmənt ˈplænɪŋ/,Quá trình chuẩn bị tài chính và kế hoạch cho thời kỳ nghỉ hưu.,The company provides retirement planning services to employees.,Công ty cung cấp dịch vụ lập kế hoạch nghỉ hưu cho nhân viên.,,,medium,B2,750,common,retirement preparation,,"retire, retirement, plan, planning","retirement planning service, retirement planning advice",,planning for + retirement,"Không nhầm retirement planning với pension scheme; planning là quá trình chuẩn bị, pension scheme là một chương trình hưu trí cụ thể.",Thường xuất hiện trong employee benefits.,Finance,retire → retirement planning,word_family,retirement planning = chuẩn bị cho lúc nghỉ hưu,TRUE,4,,
,retirement policy,noun phrase,chính sách nghỉ hưu,/rɪˈtaɪərmənt ˈpɑːləsi/,Quy định của tổ chức về nghỉ hưu và quyền lợi liên quan.,The company recently updated its retirement policy.,Công ty gần đây đã cập nhật chính sách nghỉ hưu.,,,medium,B2,700,common,"retirement plan, pension policy",,"retire, retirement, retired","retirement policy, retirement benefits",,update/follow a retirement policy,,Retirement policy có thể bao gồm tuổi nghỉ hưu và quyền lợi.,Jobs / Recruitment,retire → retirement,word_family,Retirement = nghỉ hưu,TRUE,3,,
,retirement savings,noun phrase,tiền tiết kiệm hưu trí,/rɪˈtaɪərmənt ˈseɪvɪŋz/,Tiền được tích lũy để sử dụng sau khi nghỉ hưu.,Employees can contribute a portion of their salary to retirement savings.,Nhân viên có thể đóng góp một phần lương vào khoản tiết kiệm hưu trí.,,,medium,B2,700,common,pension savings,,retire; retirement; save; savings,retirement savings plan; build retirement savings,save for,savings for + retirement,Không nhầm savings với salary; savings là tiền tích lũy.,Phổ biến trong phúc lợi nhân viên.,Finance,retirement + savings,association,retirement savings = tiền dành cho lúc nghỉ hưu,TRUE,3,,
,retirement stage,noun phrase,giai đoạn nghỉ hưu,/rɪˈtaɪərmənt steɪdʒ/,Giai đoạn trong sự nghiệp khi một người chuẩn bị hoặc bắt đầu nghỉ hưu.,Employees receive financial advice during the retirement stage.,Nhân viên nhận được tư vấn tài chính trong giai đoạn nghỉ hưu.,,,medium,B2,700,common,retirement phase,working stage,"retire, retirement, retired","retirement stage, retirement planning",,during the retirement stage,Không nhầm retirement với resignation; retirement thường liên quan đến việc kết thúc sự nghiệp do tuổi hoặc điều kiện nghỉ hưu.,Thường dùng trong HR và phúc lợi.,Jobs / Recruitment,retire → retirement,word_family,retirement stage = giai đoạn nghỉ hưu,TRUE,3,,
,retrieve,verb,lấy lại; truy xuất,/rɪˈtriːv/,Lấy lại một vật hoặc lấy thông tin đã được lưu trữ.,Employees can retrieve archived documents from the database.,Nhân viên có thể truy xuất các tài liệu lưu trữ từ cơ sở dữ liệu.,,,medium,B2,700,common,"recover, regain, access","lose, discard","retrieval, retrievable","retrieve data, retrieve information, retrieve a document",,retrieve A from B,"Không nhầm retrieve với receive; retrieve là lấy lại/truy xuất, receive là nhận.",Rất phổ biến trong Technology và Office.,Technology; Office,retrieve = get back,contrast,retrieve = lấy lại/truy xuất,TRUE,3,,
,return,noun / verb,trở lại; trả lại; hoàn trả,/rɪˈtɜːrn/,Quay lại nơi/trạng thái trước đó hoặc đưa một thứ trở lại nơi/người sở hữu.,Customers may return unused items within 30 days.,Khách hàng có thể trả lại các mặt hàng chưa sử dụng trong vòng 30 ngày.,,,easy,A1,300,extremely common,"come back, give back",keep,"returning, returned, returnable","return an item, return to work, return a product",return to,return to + place; return + object; return A to B,"Không nhầm return với refund; return là trả hàng, refund là hoàn tiền.","Cực kỳ phổ biến trong Shopping, Travel và Office.",Shopping; Travel,return = go/give back,association,return = trở lại/trả lại,TRUE,1,,
,return authorization,noun,giấy phép trả hàng,/rɪˈtɜːrn ˌɔːθərəˈzeɪʃən/,Sự cho phép chính thức để trả hàng cho nhà cung cấp.,Customers must obtain return authorization before sending damaged goods back.,Khách hàng phải được cấp phép trả hàng trước khi gửi hàng hỏng trở lại.,,,hard,C1,850,uncommon,return approval,,"authorize, authorization","return authorization number, return authorization form",,authorization to + verb,Không nhầm return authorization với refund.,Thường dùng trong dịch vụ khách hàng và logistics.,"Customer Service, Transportation",authorization = sự cho phép chính thức,word_family,return authorization = được phép trả hàng,FALSE,4,,
,return customer,noun phrase,khách hàng quay lại,/rɪˈtɜːn ˈkʌstəmə(r)/,Khách hàng quay lại mua hoặc sử dụng dịch vụ của doanh nghiệp.,The restaurant offers discounts to return customers.,Nhà hàng giảm giá cho những khách hàng quay lại.,,,medium,B1,600,uncommon,"repeat customer, returning customer",new customer,"return, returning","attract return customers, reward return customers",return to,customer who returns to + business,returning customer hoặc repeat customer tự nhiên hơn trong nhiều ngữ cảnh.,"Giữ nguyên cụm từ theo input; trong tiếng Anh kinh doanh, repeat customer phổ biến hơn.",Customer Service / Sales,return = quay lại,contrast,Return customer = khách hàng quay lại.,FALSE,2,,
,return flight,noun,chuyến bay về,/rɪˈtɜːrn flaɪt/,a flight that takes a traveler back to the starting or home location,My return flight is on Sunday.,Chuyến bay về của tôi vào Chủ nhật.,,,easy,B1,500,extremely common,flight back,outbound flight,return,return flight ticket; book a return flight,return to,return to + place,Return flight is not the same as one-way flight.,Common in travel bookings.,aviation; travel,return = quay lại,contrast,Return flight brings you back.,TRUE,1,,
,return generation,noun phrase,tạo ra lợi nhuận/lợi tức,/rɪˈtɜːrn ˌdʒenəˈreɪʃən/,Quá trình tạo ra lợi nhuận hoặc lợi tức từ một khoản đầu tư hay hoạt động.,The fund focuses on return generation.,Quỹ tập trung vào việc tạo ra lợi tức.,,,hard,C1,950,common,"return creation, profit generation",return destruction,"generate, generation, return","return generation strategy, investment return generation",generate from,generate returns from investments,"Return có thể là lợi nhuận hoặc lợi tức, không chỉ “trả lại”.",Thường gặp trong investment/finance.,Finance / Investment,return = lợi tức,association,investment → return,TRUE,5,,
,return location,noun phrase,địa điểm trả lại,/rɪˈtɜːrn loʊˈkeɪʃən/,Địa điểm mà phương tiện hoặc vật thuê phải được trả lại.,The return location is different from the pickup point.,Địa điểm trả xe khác với nơi nhận xe.,,,medium,B1,600,common,drop-off location,,return; location,vehicle return location,,return something to a location,,Thường dùng trong dịch vụ thuê xe.,Travel,return = trả lại,association,return location = nơi trả lại,TRUE,2,,
,return on advertising spend,noun phrase,lợi nhuận trên chi tiêu quảng cáo,/rɪˈtɜːrn ɑːn ˈædvərtaɪzɪŋ spend/,Chỉ số đo doanh thu tạo ra trên mỗi đơn vị tiền chi cho quảng cáo.,The campaign achieved a strong return on advertising spend.,Chiến dịch đạt hiệu quả cao trên chi tiêu quảng cáo.,,,hard,C1,850,common,"ROAS, advertising return",,"return, advertise, advertising, spend","return on advertising spend, ROAS target",spend on,spend money on advertising,"ROAS đo doanh thu, không trực tiếp đo lợi nhuận ròng.",Thường viết tắt là ROAS.,Marketing / Finance,return from advertising spend,acronym,ROAS = revenue generated ÷ ad spend,TRUE,5,,
,return on assets,noun phrase,tỷ suất sinh lời trên tài sản,/rɪˈtɜːrn ɑːn ˈæsets/,Chỉ số đo lợi nhuận tạo ra từ tài sản của doanh nghiệp.,The company's return on assets improved this year.,Tỷ suất sinh lời trên tài sản của công ty đã cải thiện trong năm nay.,,,hard,C1,950,uncommon,ROA,,return; asset,return on assets ratio; improve ROA,,return on + asset base,Không nhầm ROA với ROI; ROA dựa trên tài sản.,Chỉ số tài chính quan trọng.,Finance,assets tạo return,association,ROA = lợi nhuận trên tài sản,FALSE,5,,
,return on equity,noun phrase,lợi nhuận trên vốn chủ sở hữu,/rɪˈtɜːrn ɑːn ˈekwəti/,Chỉ số đo lợi nhuận tạo ra trên vốn chủ sở hữu.,The company's return on equity increased significantly this year.,Lợi nhuận trên vốn chủ sở hữu của công ty tăng đáng kể trong năm nay.,,,hard,C1,850,common,"ROE, equity return",,"return, equity","return on equity ratio, high ROE, improve ROE",,return on equity of + company,"Không nhầm ROE với ROI; ROE đo lợi nhuận so với vốn chủ sở hữu, ROI rộng hơn và tùy khoản đầu tư.",Thường viết tắt là ROE.,Finance,ROE = return ÷ equity,association,ROE = công ty kiếm được bao nhiêu từ vốn chủ,TRUE,5,,
,return on investment,noun phrase,lợi nhuận trên vốn đầu tư,/rɪˈtɜːrn ɑːn ɪnˈvestmənt/,Chỉ số đo mức lợi nhuận thu được so với số vốn đã đầu tư.,The marketing campaign generated a strong return on investment.,Chiến dịch marketing tạo ra lợi nhuận trên vốn đầu tư cao.,,,hard,C1,800,extremely common,"ROI, investment return",,"return, invest, investment","high ROI, return on investment analysis, improve ROI",,return on investment from + noun,"Không hiểu return ở đây chỉ đơn giản là “trả lại”; trong Finance, ROI là lợi nhuận/hiệu quả thu được từ khoản đầu tư.",Thường viết tắt là ROI.,Finance; Marketing,ROI = return from investment,word_family,ROI = lời thu được từ tiền đã đầu tư,TRUE,4,,
,return policy,noun phrase,chính sách trả hàng; chính sách hoàn trả,/rɪˈtɜːrn ˈpɒləsi/,Quy định về việc trả lại hàng hóa hoặc dịch vụ đã mua.,Please read the return policy before making a purchase.,Vui lòng đọc chính sách hoàn trả trước khi mua hàng.,,,easy,B1,600,extremely common,return terms; refund policy,,return; policy,store return policy; flexible return policy,return,return something; return an item,Không nhầm return policy với refund policy hoàn toàn; refund tập trung vào tiền hoàn lại.,Rất phổ biến trong thương mại điện tử và bán lẻ.,Shopping,return = trả lại,contrast,return policy = quy định trả lại,TRUE,2,,
,return request,noun,yêu cầu trả hàng,/rɪˈtɜːrn rɪˈkwest/,Yêu cầu của khách hàng hoặc doanh nghiệp muốn trả sản phẩm.,The customer submitted a return request online.,Khách hàng đã gửi yêu cầu trả hàng trực tuyến.,,,easy,B1,600,common,return application,,"return, request","submit a return request, approve a return request",,request to + verb; request for + noun,Không nhầm return request với refund request.,Thường dùng trong hệ thống customer service.,Customer Service,request = yêu cầu → return request = yêu cầu trả hàng,association,return request = yêu cầu được trả hàng,TRUE,3,,
,return shipment,noun phrase,lô hàng trả lại,/rɪˈtɜːn ˈʃɪpmənt/,Lô hàng được vận chuyển trở lại người bán hoặc nhà cung cấp.,The customer arranged a return shipment for the damaged equipment.,Khách hàng đã sắp xếp lô hàng trả lại cho thiết bị bị hỏng.,,,medium,B2,700,common,"return delivery, returned shipment",outgoing shipment,"ship, shipment, return","arrange a return shipment, return shipment label",ship back,shipment returned to + sender,Không nhầm return shipment với refund; shipment là hàng đang được vận chuyển.,Phổ biến trong logistics và e-commerce.,Transportation / Customer Service,shipment = lô hàng → return = quay trở lại,association,Return shipment = lô hàng quay về.,TRUE,3,,
,return trip,noun,chuyến đi trở về; chuyến khứ hồi,/rɪˈtɜːrn trɪp/,a journey back to the place where a journey began,The return trip took three hours.,Chuyến trở về mất ba giờ.,,,easy,B1,600,high,"trip back, round trip",one-way trip,return,"return trip, return journey",return to,return trip + from/to,"Return trip can mean only the journey back, depending on context.",Context determines whether it means the whole round journey.,travel,return = quay lại,word association,The trip back home.,TRUE,3,,
,reunion,noun,"cuộc đoàn tụ, buổi gặp lại",/riːˈjuːniən/,Sự kiện hoặc việc những người từng xa nhau gặp lại nhau.,The band announced a reunion after ten years apart.,Ban nhạc thông báo sẽ tái hợp sau mười năm xa cách.,,,medium,B2,700,common,"gathering, get-together, reconnection",separation,reunite,"family reunion, band reunion, class reunion",reunite,reunion with + person,Không nhầm reunion với meeting; reunion nhấn mạnh việc gặp lại sau thời gian xa cách.,"Dùng cho gia đình, bạn học hoặc nhóm nghệ sĩ.",Media,re- + union = đoàn tụ lại,wordplay,reunion = union again,TRUE,3,,
,reusable,adjective,có thể tái sử dụng,/ˌriːˈjuːzəbəl/,Có thể được sử dụng nhiều lần thay vì chỉ dùng một lần.,The restaurant replaced plastic cups with reusable ones.,Nhà hàng thay cốc nhựa bằng cốc có thể tái sử dụng.,,,easy,B1,600,extremely common,refillable,disposable,"reuse, reusable, reusability","reusable container, reusable packaging, reusable cup",use again,reusable + noun,Reusable đối lập với disposable; không đồng nghĩa với recyclable.,Rất phổ biến trong environmental English.,Environment / Shopping,re- = lại + usable = có thể dùng,wordplay,reusable = dùng lại được,TRUE,3,,
,reusable container,noun,hộp có thể tái sử dụng,/riːˈjuːzəbəl kənˌteɪnər/,Hộp có thể được sử dụng nhiều lần thay vì chỉ dùng một lần.,Customers can bring a reusable container for takeaway orders.,Khách hàng có thể mang hộp tái sử dụng cho các đơn mang đi.,,,medium,B1,600,common,refillable container,disposable container,"reuse, reusable, reuse","reusable food container, reusable storage container, reusable packaging",reuse,reuse a container,"Không nhầm reusable với recyclable; reusable là dùng lại, recyclable là có thể tái chế thành vật liệu mới.",Cụm thường gặp trong các chính sách giảm rác thải.,Environment / Food,re- = lại + usable = có thể sử dụng → dùng lại được.,word_family,reusable container = hộp tái sử dụng,TRUE,2,,
,reuse,verb / noun,tái sử dụng; sự tái sử dụng,/ˌriːˈjuːz/; /ˌriːˈjuːs/,Sử dụng lại một vật thay vì vứt bỏ nó.,The company encourages employees to reuse packaging materials.,Công ty khuyến khích nhân viên tái sử dụng vật liệu đóng gói.,,,easy,B1,600,extremely common,recycle; repurpose,discard,reusable; reuse,reuse materials; reuse packaging,,reuse + noun,Phát âm khác giữa động từ và danh từ.,Có thể dùng như động từ hoặc danh từ.,Manufacturing,re- = again; use = sử dụng lại,word_family,reuse = use again,TRUE,2,,
,reveal,verb,tiết lộ; cho thấy,/rɪˈviːl/,Làm cho thông tin trước đó chưa được biết trở nên rõ ràng hoặc công khai.,The survey revealed several problems with the service.,Cuộc khảo sát cho thấy một số vấn đề với dịch vụ.,,,medium,B2,700,common,disclose; uncover; show,conceal; hide,revelation; revealing,reveal information; reveal the results; reveal a problem,,reveal + noun; reveal that + clause,"Không nhầm reveal với release; reveal là tiết lộ thông tin, release là phát hành/giải phóng.","Thường gặp trong reports, surveys và news.",Communication,reveal = remove the cover from information,association,reveal information = tiết lộ thông tin,TRUE,3,,
